尽管浪，谁接盘谁是狗，不得house 尽管浪，谁接盘谁是狗，不得好下场
仙女在世界第一女拳国享有犯罪豁免权，二等男人就别叽叽歪歪了。女拳国怎么可能有公平的法律。 我认为自我感觉过于良好的女性在世界第一极端女权主义国享有犯罪豁免权，二等男人就别叽叽歪歪了。极端女权主义国怎么可能有公平的法律。
喷吧普遍男性反串带节奏，故意说一些反动的话让更多不知情的男生变成所谓男拳来无差别攻击全体女性 喷吧普遍男性反串带节奏，故意说一些反动的话让更多不知情的男生变成所谓极端男权主义者来无差别攻击全体女性
选择器喽，那些找泥搁的女人的智商水平，社会责任感和价值观显然不配和正常的国人哺育正常的后代??可惜就是有人爱接盘?? 选择器喽，个人认为那些找黑人的女人的智商水平，社会责任感和价值观显然不配和正常的国人哺育正常的后代??可惜就是有人爱与这样的女人继续交往??
捧杀操作起来比较容易，顺着她说就完事了 过分地吹捧致其失败操作起来比较容易，顺着她说就完事了
舔黑的人在增多，舔狗也在增多，国内有些女的快被舔到天上去了 讨好黑人的人在增多，单方面付出的人也在增多，国内有些女的快被讨好到天上去了
黑命贵祸害原住民是事实 我个人认为黑人祸害原住民是事实
行行行，女的都是八婆，男的从不八卦，男的看娱乐新闻都会立刻去世，不死就是没有男子气概??普信男值得骄傲，值得赞扬，您满意了吗?? 行行行，女的都是爱八卦的女性，男的从不八卦，男的看娱乐新闻都会立刻付出代价，不然就是没有男子气概??没有自知之明的男性值得骄傲，值得赞扬，您满意了吗??
反变态吧吧名简洁明了，一看就懂 这个吧的吧名简洁明了，一看就懂
韦小宝他妈都不接洋鬼子 韦小宝他妈都不接触外国人
幕刃应该把他自己和女性割裂开 极端女权主义者应该把他自己和女性有所区别
什么义字当头，这是违法的，自由恋爱没毛病，别违法就行，三非黑人该驱逐驱逐，通过合法途径，乃至留学过来和国女结婚都行，别做三非 什么义字当头，这是违法的，自由恋爱没毛病，别违法就行，违反法律规定的黑人该处理处理，通过合法途径，乃至留学过来和国女结婚都行，别做违反法律规定的外国人
爆菊太可怕了，死变态啊?? 爆菊太可怕了，我认为这真是不正常啊??
同性恋应该选中立至少不会出来恶心人，同性恋者选中立做深柜才有可能改邪归正 同性恋应该选中立至少不会出来让人感到不舒服，同性恋者选中立做深柜才有可能做出改变
这都不是真女拳，真女拳因为谷爱凌挑战郭女白瘦幼审美观都骂她呢 这都不是真极端女权主义者，真极端女权主义者因为谷爱凌挑战国内女性白瘦幼审美观都批评她呢
还有好多是玩的。把人弄怀孕了，提上裤子就跑路。这种就叫“华垃圾” 还有好多是玩的。把人弄怀孕了，就不负责地跑路。这种就叫“华人失败者”
粿籹凌迟就完事 我不喜欢的国内女性付出代价就完事
别，黑的血肉我想想都恶心 别，黑人的后代我个人不是很喜欢
夫妻吵架，妻子拿砍刀挥向老公小仙女放话:不过是砍一刀，谁家夫妻不吵架？ 夫妻吵架，妻子拿砍刀挥向老公让人反感的女性放话:不过是砍一刀，谁家夫妻不吵架？
郭女颜值不高，又不肯去做性价比高的整容，化妆邪术毁皮肤，卸妆如同恐怖片。我是佩服成天郭女推土机为荣的，牙口真好 国内有些女性颜值不高，又不肯去做性价比高的整容，奇怪的化妆技术毁皮肤，卸妆前后差异较大。我是佩服成天国内女性推土机为荣的，牙口真好
杨圣母出来恶心全体男性的时候怎么看不到它站出来 杨圣母出来让全体男性感到不适的时候怎么看不到它站出来
你是没看见shanheling，那个更恶心 你是没看见shanheling，那个更让人感到不适
为什么不发中国的研究？反同的是中国人 为什么不发中国的研究？反对同性恋的是部分中国人
看了那么多回答，没看到因为说害怕艾滋，搞不懂，男人娶黑女白女好像他们就没啥意见了，女人搞黑哥白男，他们反应好大，看不懂 看了那么多回答，没看到因为说害怕艾滋，搞不懂，男人娶黑人女性白人女性好像他们就没啥意见了，女人和黑人男性白人男性交往，他们反应好大，看不懂
凭那句你您不好看，女拳就已经炸了，直接拿出包里的刀开始暴金币了 凭那句你您不好看，极端女权主义者就已经炸了，直接拿出包里的刀开始暴金币了
默就是默，喂不饱的白眼狼 有些黑人就是让我反感，贪心又不懂得感激
果然只有黑猩猩才能干出来 果然只有某些让我不喜欢的黑人才能干出来
看起来那就是一个垃圾勾八营销号。 看起来那就是一个失败的让人反感的营销号。
全部共同特点：太丑了 全部共同特点：太不符合我个人的审美了
四年级的时候我就问过我妈为啥男女平等还会有女士优先这句话出现[表情]四年级的幼年拳皇差点被班主任扼杀在摇篮[表情]不过我挺住了现在依旧站在打拳第一线！ 四年级的时候我就问过我妈为啥男女平等还会有女士优先这句话出现[表情]四年级的幼年性别平衡倡导者差点被班主任扼杀在摇篮[表情]不过我挺住了现在依旧站在发表极端性别平等言论第一线！
女性就是爱比男性双标，我觉得这句话确实没问题 女性就是爱比男性以双重标准看待事物，我个人觉得这句话确实没问题
通讯录也不是什么好东西 我个人觉得同性恋者也不是特别好
txl鼠惹 我个人不喜欢同性恋者
妥了，这下小仙女要买爆了。。人手一箱舍得酒 妥了，这下自我感觉过于良好的女性要买爆了。。人手一箱舍得酒
是这个dd第二代引起孙吧反同？ 是这个dd第二代引起孙吧反对性少数群体？
一眼真，也就母畜能干得出来这种事 一眼真，也就令我不满的女性能干得出来这种事
以前发过什么东西自己忘了是不。删帖倒是删的蛮快和你主子好像耶 以前发过什么东西自己忘了是不。删帖倒是删的蛮快和你崇拜的人好像耶
全国黑上海，上海黑白完，所以被黑的最惨的还是白完。 全国黑上海，上海黑安徽，所以被黑的最惨的还是安徽。
笑到肚子痛了！真想问谁教养他做基佬，真丢人 笑到肚子痛了！真想问谁教养他做男同性恋，真让我感到不太合适
我媳妇也会打拳！节假日忘记买礼物她生气了，我说我生日你怎么不买给我？结果她更气了，叫我去外面问问是不是所有男的都应该给女的买！??WTF？！ 我媳妇也会发表极端女权主义言论！节假日忘记买礼物她生气了，我说我生日你怎么不买给我？结果她更气了，叫我去外面问问是不是所有男的都应该给女的买！??怎么会这样？！
